,Brand Name,Name of Product,Price,Return/Exchange,Expected Delivery,Product URL
36,-,-,-,-,-,https://www.amazon.in/Acoustic-plectrums-stability-age-groups-Refreshing/dp/B09YH89RVZ/ref=sr_1_33?keywords=Guitar&qid=1669113970&qu=eyJxc2MiOiI1Ljc4IiwicXNhIjoiNS4yNiIsInFzcCI6IjQuMDUifQ%3D%3D&sr=8-33
37,-,-,"11,299",-,-,https://www.amazon.in/Yamaha-FX280-acoustic-Dreadnought-Natural/dp/B09HR6BNFQ/ref=sr_1_34?keywords=Guitar&qid=1669113970&qu=eyJxc2MiOiI1Ljc4IiwicXNhIjoiNS4yNiIsInFzcCI6IjQuMDUifQ%3D%3D&sr=8-34
38,-,-,-,-,-,https://www.amazon.in/Yamaha-FSX80C-Acoustic-Cutaway-Guitar/dp/B09HL5WFDX/ref=sr_1_35?keywords=Guitar&qid=1669113970&qu=eyJxc2MiOiI1Ljc4IiwicXNhIjoiNS4yNiIsInFzcCI6IjQuMDUifQ%3D%3D&sr=8-35
39,-,-,"3,624",-,-,https://www.amazon.in/JUAREZ-Arpeggio-Acoustic-Rosewood-Fretboard/dp/B08LBJ8PTM/ref=sr_1_36?keywords=Guitar&qid=1669113970&qu=eyJxc2MiOiI1Ljc4IiwicXNhIjoiNS4yNiIsInFzcCI6IjQuMDUifQ%3D%3D&sr=8-36
40,-,-,"14,269",-,-,https://www.amazon.in/Stagg-Auditorium-SA25-ACE-MAHO/dp/B09HQ2685T/ref=sr_1_37?keywords=Guitar&qid=1669113970&qu=eyJxc2MiOiI1Ljc4IiwicXNhIjoiNS4yNiIsInFzcCI6IjQuMDUifQ%3D%3D&sr=8-37
41,-,-,"9,829",-,-,https://www.amazon.in/Cort-CAP810-OP-Acoustic-Plectrums-Complete/dp/B08D7SWGG5/ref=sr_1_38?keywords=Guitar&qid=1669113970&qu=eyJxc2MiOiI1Ljc4IiwicXNhIjoiNS4yNiIsInFzcCI6IjQuMDUifQ%3D%3D&sr=8-38
42,-,-,"5,686",-,-,https://www.amazon.in/JUAREZ-JRB40LN-3TS-Arpeggio-Guitar/dp/B08MW8F9VS/ref=sr_1_39?keywords=Guitar&qid=1669113970&qu=eyJxc2MiOiI1Ljc4IiwicXNhIjoiNS4yNiIsInFzcCI6IjQuMDUifQ%3D%3D&sr=8-39
43,-,-,499,-,-,https://www.amazon.in/Firevally-Childrens-Instrument-Educational-Instruments/dp/B0BL15WBRS/ref=sr_1_40?keywords=Guitar&qid=1669113970&qu=eyJxc2MiOiI1Ljc4IiwicXNhIjoiNS4yNiIsInFzcCI6IjQuMDUifQ%3D%3D&sr=8-40
44,Hontral,Hontral S4 String Decor Guitar Children's Musical Instrument Educational Toy Small Guitar for Beginners Kids Child - 23Inch,899,7 Days Replacement,"Friday, 25 November",https://www.amazon.in/Hontral-Childrens-Instrument-Educational-Beginners/dp/B0BD8Y1H78/ref=sr_1_41?keywords=Guitar&qid=1669113970&qu=eyJxc2MiOiI1Ljc4IiwicXNhIjoiNS4yNiIsInFzcCI6IjQuMDUifQ%3D%3D&sr=8-41
45,-,-,-,-,-,https://www.amazon.in/Juarez-Acoustic-Cutaway-BK-Strings/dp/B076T3RHMG/ref=sr_1_42?keywords=Guitar&qid=1669113970&qu=eyJxc2MiOiI1Ljc4IiwicXNhIjoiNS4yNiIsInFzcCI6IjQuMDUifQ%3D%3D&sr=8-42
46,Intern,Intern INT-38C Acoustic Guitar Kit (Red),-,-,"Thursday, 24 November",https://www.amazon.in/Intern-INT-38C-Acoustic-Guitar-Kit/dp/B073B6TF31/ref=sr_1_43?keywords=Guitar&qid=1669113970&qu=eyJxc2MiOiI1Ljc4IiwicXNhIjoiNS4yNiIsInFzcCI6IjQuMDUifQ%3D%3D&sr=8-43
47,JUAREZ,"JUAREZ JRZ38C 38 Inches Lindenwood Right Handed Acoustic Guitar With Bag, Strings, Pick And Strap (Natural, Brown, 6 Strings)",-,-,"Thursday, 24 November",https://www.amazon.in/JUAREZ-JRZ38C-Acoustic-Natural-Strings/dp/B01FYYTDWC/ref=sr_1_44?keywords=Guitar&qid=1669113970&qu=eyJxc2MiOiI1Ljc4IiwicXNhIjoiNS4yNiIsInFzcCI6IjQuMDUifQ%3D%3D&sr=8-44
